
Episode 1	Average Score: -0.66499999
Episode 2	Average Score: -0.67749998
Episode 3	Average Score: -0.68333332
Episode 4	Average Score: -0.68624998
Episode 5	Average Score: -0.68799998
Episode 6	Average Score: -0.67999998
Episode 7	Average Score: -0.68214284
Episode 8	Average Score: -0.68374998
Episode 9	Average Score: -0.68499998
Episode 10	Average Score: -0.68549998
Episode 11	Average Score: -0.68590908
Episode 12	Average Score: -0.68666665
Episode 13	Average Score: -0.68730768
Episode 14	Average Score: -0.68785713
Episode 15	Average Score: -0.68833332
Episode 16	Average Score: -0.68874998
Episode 17	Average Score: -0.68911763
Episode 18	Average Score: -0.68944443
Episode 19	Average Score: -0.68947367
Episode 20	Average Score: -0.68974998
Episode 21	Average Score: -0.68738094
Episode 22	Average Score: -0.68772726
Episode 23	Average Score: -0.68804346
Episode 24	Average Score: -0.68833332
Episode 25	Average Score: -0.68859998
Episode 26	Average Score: -0.68865383
Episode 27	Average Score: -0.68888887
Episode 28	Average Score: -0.68714284
Episode 29	Average Score: -0.68741378
Episode 30	Average Score: -0.68766665
Episode 31	Average Score: -0.68596773
Episode 32	Average Score: -0.68421873
Episode 33	Average Score: -0.66333332
Episode 34	Average Score: -0.65132351
Episode 35	Average Score: -0.64271427
Episode 36	Average Score: -0.63152776
Episode 37	Average Score: -0.61337836
Episode 38	Average Score: -0.61552630
Episode 39	Average Score: -0.61756409
Episode 40	Average Score: -0.61949998
Episode 41	Average Score: -0.62121950
Episode 42	Average Score: -0.62285713
Episode 43	Average Score: -0.62325580
Episode 44	Average Score: -0.62488635
Episode 45	Average Score: -0.62644443
Episode 46	Average Score: -0.62793477
Episode 47	Average Score: -0.62936169
Episode 48	Average Score: -0.63072915
Episode 49	Average Score: -0.63193876
Episode 50	Average Score: -0.63319998
Episode 51	Average Score: -0.63441175
Episode 52	Average Score: -0.63557691
Episode 53	Average Score: -0.63669810
Episode 54	Average Score: -0.63777776
Episode 55	Average Score: -0.63881817
Episode 56	Average Score: -0.63982141
Episode 57	Average Score: -0.64078946
Episode 58	Average Score: -0.64172412
Episode 59	Average Score: -0.64254236
Episode 60	Average Score: -0.64333332
Episode 61	Average Score: -0.64336064
Episode 62	Average Score: -0.64419353
Episode 63	Average Score: -0.64388887
Episode 64	Average Score: -0.64468748
Episode 65	Average Score: -0.64546152
Episode 66	Average Score: -0.64621211
Episode 67	Average Score: -0.64694028
Episode 68	Average Score: -0.62610293
Episode 69	Average Score: -0.60746375
Episode 70	Average Score: -0.58907141
Episode 71	Average Score: -0.56535210
Episode 72	Average Score: -0.54249998
Episode 73	Average Score: -0.52006848
Episode 74	Average Score: -0.49662160
Episode 75	Average Score: -0.48006665
Episode 76	Average Score: -0.45532893
Episode 77	Average Score: -0.43461037
Episode 78	Average Score: -0.41487178
Episode 79	Average Score: -0.39253163
Episode 80	Average Score: -0.36937498
Episode 81	Average Score: -0.34802467
Episode 82	Average Score: -0.32786583
Episode 83	Average Score: -0.31174697
Episode 84	Average Score: -0.29119046
Episode 85	Average Score: -0.27123527
Episode 86	Average Score: -0.24860463
Episode 87	Average Score: -0.22959768
Episode 88	Average Score: -0.21085225
Episode 89	Average Score: -0.19432582
Episode 90	Average Score: -0.17033331
Episode 91	Average Score: -0.14362635
Episode 92	Average Score: -0.11385867
Episode 93	Average Score: -0.08107525
Episode 94	Average Score: -0.04728721
Episode 95	Average Score: -0.01489471
Episode 96	Average Score: 0.02041669
Episode 97	Average Score: 0.05170105
Episode 98	Average Score: 0.08173472
Episode 99	Average Score: 0.11242427
Episode 100	Average Score: 0.14190002
Episode 101	Average Score: 0.17800002
Episode 102	Average Score: 0.21205002
Episode 103	Average Score: 0.24435002
Episode 104	Average Score: 0.27735002
Episode 105	Average Score: 0.31135003
Episode 106	Average Score: 0.33985003
Episode 107	Average Score: 0.37655003
Episode 108	Average Score: 0.40895003
Episode 109	Average Score: 0.44255003
Episode 110	Average Score: 0.47700003
Episode 111	Average Score: 0.51020003
