Found path: /home_01/f20150198/projects/deep-reinforcement-learning/p2_continuous-control/Reacher_Linux_NoVis/Reacher.x86_64
Mono path[0] = '/home_01/f20150198/projects/deep-reinforcement-learning/p2_continuous-control/Reacher_Linux_NoVis/Reacher_Data/Managed'
Mono config path = '/home_01/f20150198/projects/deep-reinforcement-learning/p2_continuous-control/Reacher_Linux_NoVis/Reacher_Data/MonoBleedingEdge/etc'
Preloaded 'libgrpc_csharp_ext.x64.so'
Unable to preload the following plugins:
	libgrpc_csharp_ext.x86.so
Logging to /home_01/f20150198/.config/unity3d/Unity Technologies/Unity Environment/Player.log
Size of each action: 4
episode done  [False]
hello

Episode 1	Average Score: 0.00000000
Episode 2	Average Score: 0.00000000
Episode 3	Average Score: 0.41666666
Episode 4	Average Score: 0.43749999
Episode 5	Average Score: 0.34999999
Episode 6	Average Score: 0.38166666
Episode 7	Average Score: 0.43999999
Episode 8	Average Score: 0.48374999
Episode 9	Average Score: 0.48444443
Episode 10	Average Score: 0.46899999
Episode 11	Average Score: 0.50999999
Episode 12	Average Score: 0.52833332
Episode 13	Average Score: 0.50769230
Episode 14	Average Score: 0.51999999
Episode 15	Average Score: 0.49666666
Episode 16	Average Score: 0.52499999
Episode 17	Average Score: 0.58058822
Episode 18	Average Score: 0.56833332
Episode 19	Average Score: 0.63736841
Episode 20	Average Score: 0.63299999
Episode 21	Average Score: 0.61571427
Episode 22	Average Score: 0.61727271
Episode 23	Average Score: 0.60913042
Episode 24	Average Score: 0.58374999
Episode 25	Average Score: 0.56039999
Episode 26	Average Score: 0.57692306
Episode 27	Average Score: 0.55555554
Episode 28	Average Score: 0.53892856
Episode 29	Average Score: 0.52034482
Episode 30	Average Score: 0.52233332
Episode 31	Average Score: 0.51387096
Episode 32	Average Score: 0.52374999
Episode 33	Average Score: 0.55666665
Episode 34	Average Score: 0.56352940
Episode 35	Average Score: 0.55542856
Episode 36	Average Score: 0.55527777
Episode 37	Average Score: 0.56189188
Episode 38	Average Score: 0.56078946
Episode 39	Average Score: 0.56230768
Episode 40	Average Score: 0.54824999
Episode 41	Average Score: 0.53487804
Episode 42	Average Score: 0.53642856
Episode 43	Average Score: 0.52395348
Episode 44	Average Score: 0.54772726
Episode 45	Average Score: 0.53622221
Episode 46	Average Score: 0.54260868
Episode 47	Average Score: 0.54170212
Episode 48	Average Score: 0.54520832
Episode 49	Average Score: 0.55204080
Episode 50	Average Score: 0.56679999
Episode 51	Average Score: 0.57392156
Episode 52	Average Score: 0.58269229
Episode 53	Average Score: 0.58377357
Episode 54	Average Score: 0.60388888
Episode 55	Average Score: 0.61090908
Episode 56	Average Score: 0.64678570
Episode 57	Average Score: 0.67929823
Episode 58	Average Score: 0.69568964
Episode 59	Average Score: 0.70101693
Episode 60	Average Score: 0.71333332
Episode 61	Average Score: 0.71573769
Episode 62	Average Score: 0.71741934
Episode 63	Average Score: 0.72031744
Episode 64	Average Score: 0.73093748
Episode 65	Average Score: 0.74615383
Episode 66	Average Score: 0.75833332
Episode 67	Average Score: 0.76328357
Episode 68	Average Score: 0.77573528
Episode 69	Average Score: 0.81159418
Episode 70	Average Score: 0.85085712
Episode 71	Average Score: 0.89507040
Episode 72	Average Score: 0.93777776
Episode 73	Average Score: 0.99643833
Episode 74	Average Score: 1.02716214
Episode 75	Average Score: 1.05133331
Episode 76	Average Score: 1.07328945
Episode 77	Average Score: 1.09428569
Episode 78	Average Score: 1.13846151
Episode 79	Average Score: 1.16582276
Episode 80	Average Score: 1.21537497
Episode 81	Average Score: 1.21641973
Episode 82	Average Score: 1.24841461
Episode 83	Average Score: 1.25891563
Episode 84	Average Score: 1.25130950
Episode 85	Average Score: 1.25964703
Episode 86	Average Score: 1.26418602
Episode 87	Average Score: 1.26908043
Episode 88	Average Score: 1.26988634
Episode 89	Average Score: 1.25561795
Episode 90	Average Score: 1.25466664
Episode 91	Average Score: 1.24593404
Episode 92	Average Score: 1.27749997
Episode 93	Average Score: 1.26376341
Episode 94	Average Score: 1.27106380
Episode 95	Average Score: 1.28042102
Episode 96	Average Score: 1.29999997
Episode 97	Average Score: 1.33546389
Episode 98	Average Score: 1.32183671
Episode 99	Average Score: 1.34414138
Episode 100	Average Score: 1.36039997
Episode 100	Average Score: 1.36

Episode 101	Average Score: 1.39539997
Episode 102	Average Score: 1.43609997
Episode 103	Average Score: 1.44139997
Episode 104	Average Score: 1.45449997
Episode 105	Average Score: 1.48569997
Episode 106	Average Score: 1.49739997
Episode 107	Average Score: 1.50809997
Episode 108	Average Score: 1.53049997
Episode 109	Average Score: 1.54049997
